name,unit,avg,count,max,min,std,sum,allTag,architectures,benchmarks,benchmarkStart,bots,builds,deviceIds,displayLabel,masters,memoryAmounts,osNames,osVersions,productVersions,stories,storysetRepeats,traceStart,traceUrls
TodoMVC-jQuery,ms,31106.519999986886,10,36407.89999997616,23173.600000023842,4673.121904594753,311065.19999986887,all,x86_64,speedometer3,2026-03-13 19:15:38,,,,tsan-all,,,linux,arch,,Speedometer3,0,2026-03-13 19:15:38,
Charts-observable-plot,ms,8230.94999999702,10,11962.40000000596,5793.699999988079,2439.967826883216,82309.4999999702,all,x86_64,speedometer3,2026-03-13 18:37:05,,,,tsan,,,linux,arch,,Speedometer3,0,2026-03-13 18:37:05,
TodoMVC-WebComponents,ms,1800.7999999970198,10,2484.9000000059605,1462,291.92990786777676,18007.999999970198,all,x86_64,speedometer3,2026-03-13 18:37:05,,,,tsan,,,linux,arch,,Speedometer3,0,2026-03-13 18:37:05,
Charts-chartjs,ms,7772.8900000035765,10,10195.600000023842,5360.4000000059605,1580.7569020075957,77728.90000003576,all,x86_64,speedometer3,2026-03-13 18:37:05,,,,tsan,,,linux,arch,,Speedometer3,0,2026-03-13 18:37:05,
TodoMVC-Svelte-Complex-DOM,ms,1743.6300000220538,10,3821.199999988079,1145.1000000536442,773.4375921677628,17436.300000220537,all,x86_64,speedometer3,2026-03-13 18:37:05,,,,tsan,,,linux,arch,,Speedometer3,0,2026-03-13 18:37:05,
TodoMVC-React-Complex-DOM,ms,5394.480000010133,10,15125.200000017881,2128.300000011921,4120.231818145663,53944.80000010133,all,x86_64,speedometer3,2026-03-13 18:37:05,,,,tsan,,,linux,arch,,Speedometer3,0,2026-03-13 18:37:05,
React-Stockcharts-SVG,ms,10040.120000004768,10,13948.300000011921,6444.300000011921,2786.1777209825755,100401.20000004768,all,x86_64,speedometer3,2026-03-13 18:37:05,,,,tsan,,,linux,arch,,Speedometer3,0,2026-03-13 18:37:05,
TodoMVC-Lit-Complex-DOM,ms,2561.5999999940395,10,3439.0000000298023,2052.1999999582767,469.63156247241636,25615.999999940395,all,x86_64,speedometer3,2026-03-13 18:37:05,,,,tsan,,,linux,arch,,Speedometer3,0,2026-03-13 18:37:05,
TodoMVC-React-Redux,ms,6381.359999987483,10,13995.899999946356,1833.1000000238419,4514.918866289608,63813.59999987483,all,x86_64,speedometer3,2026-03-13 18:37:05,,,,tsan,,,linux,arch,,Speedometer3,0,2026-03-13 18:37:05,
Perf-Dashboard,ms,5983.7199999958275,10,9635.500000029802,2588.800000011921,2601.8256200941396,59837.19999995828,all,x86_64,speedometer3,2026-03-13 18:37:05,,,,tsan,,,linux,arch,,Speedometer3,0,2026-03-13 18:37:05,
NewsSite-Next,ms,10756.330000007154,10,14343.90000000596,7211.800000041723,2009.7600431932728,107563.30000007153,all,x86_64,speedometer3,2026-03-13 18:37:05,,,,tsan,,,linux,arch,,Speedometer3,0,2026-03-13 18:37:05,
TodoMVC-Backbone,ms,3859.930000001192,10,8174,1877.0000000298023,1914.4732202895889,38599.30000001192,all,x86_64,speedometer3,2026-03-13 18:37:05,,,,tsan,,,linux,arch,,Speedometer3,0,2026-03-13 18:37:05,
Score,,0.1958598215446372,10,0.2528441583130411,0.14135922796354972,0.03344359079128856,1.9585982154463726,all,x86_64,speedometer3,2026-03-13 18:37:05,,,,tsan,,,linux,arch,,Speedometer3,0,2026-03-13 18:37:05,
NewsSite-Nuxt,ms,7642.5999999940395,10,9834.800000041723,6398.799999982119,1163.6498958144186,76425.9999999404,all,x86_64,speedometer3,2026-03-13 18:37:05,,,,tsan,,,linux,arch,,Speedometer3,0,2026-03-13 18:37:05,
TodoMVC-Angular-Complex-DOM,ms,8427.610000017285,10,13156.000000029802,2447.5,3873.189061976689,84276.10000017285,all,x86_64,speedometer3,2026-03-13 18:37:05,,,,tsan,,,linux,arch,,Speedometer3,0,2026-03-13 18:37:05,
TodoMVC-JavaScript-ES5,ms,8599.180000001194,10,11358.700000017881,6009.900000035763,1898.5259163736882,85991.80000001192,all,x86_64,speedometer3,2026-03-13 18:37:05,,,,tsan,,,linux,arch,,Speedometer3,0,2026-03-13 18:37:05,
Editor-CodeMirror,ms,2781.3000000059606,10,6275.000000029802,1400.0000000298023,1419.0570734831163,27813.000000059605,all,x86_64,speedometer3,2026-03-13 18:37:05,,,,tsan,,,linux,arch,,Speedometer3,0,2026-03-13 18:37:05,
TodoMVC-Vue,ms,3399.0500000059606,10,5253.899999976158,1724.5999999642372,1099.4282890485865,33990.500000059605,all,x86_64,speedometer3,2026-03-13 18:37:05,,,,tsan,,,linux,arch,,Speedometer3,0,2026-03-13 18:37:05,
TodoMVC-JavaScript-ES6-Webpack-Complex-DOM,ms,8770.039999997616,10,14979.999999970198,6633.599999964237,2781.5690592810033,87700.39999997616,all,x86_64,speedometer3,2026-03-13 18:37:05,,,,tsan,,,linux,arch,,Speedometer3,0,2026-03-13 18:37:05,
Editor-TipTap,ms,5242.899999991059,10,6992.4000000059605,3503,1211.0090411556823,52428.99999991059,all,x86_64,speedometer3,2026-03-13 18:37:05,,,,tsan,,,linux,arch,,Speedometer3,0,2026-03-13 18:37:05,
TodoMVC-jQuery,ms,37496.77999998033,10,61585.599999934435,25552.599999964237,10163.81091483872,374967.7999998033,all,x86_64,speedometer3,2026-03-13 18:37:05,,,,tsan,,,linux,arch,,Speedometer3,0,2026-03-13 18:37:05,
